Jimmy Monkey Cafe ,one-north Gateway#01-51 (one-north residences) | C/D/F/$6-$18/$5
Revolution Coffee ,21 Media Circle #01-03A | CD
Artisan Boulangerie ,North Buona Vista Drive#01-12 (The Metropolis)
Jamaica Blue ,1 Vista Exchange Green #01-32 (The Star Vista) | CDF
93C Bean & Leaf ,8 Lorong Mambong | CD
MU Parlour ,16A Lorong Mambong
Craft Bakery & Cafe ,24A Lorong Mambong | CDF
Hatched ,267 Holland Avenue | CDF
d Good Cafe ,Holland Avenue | CDF
Foster English Rose Cafe ,277 Holland Avenue | CDF
Park Cafe Bar ,Holland Avenue #01-01
Shebrews Cafe ,365 Commonwealth Avenue (Queenstown Community Centre)
Artease ,500 Dover Road (Singapore Polytechnic Teaching Block 19)
Roadhouse ,Dempsey Road #01-07
Jones the Grocer ,Dempsey Road | CDF
PS Cafe ,Harding Road
The Dempsey Brasserie ,7 Dempsey Road #01-03
The White Rabbit ,Harding Road
Barracks Cafe House Dempsey ,Dempsey Road#01-01 to06
House Dempsey ,Dempsey Road#01-01to 06
Food For Thought Cafe ,Cluny Road#B1-00 (Singapore Botanic Gardens)
Assembly Coffee ,26 Evans Road (Evans Lodge)
Hatched ,26 Evans Road #01-06 (Evans Lodge)
Nassim Hill Bakery & Bistro ,56 Tanglin Road (Tanglin Post Office)
Spruce ,Tanglin Road(Phoenix Park)
Relish ,Bukit Timah Road#02-01(Cluny Court)
Simply Bread ,Bukit Timah Road#02-01(Cluny Court) | CF
Choupinette ,607 Bukit Timah Road #01-01
The Missing Pan ,619D Bukit Timah Road #01/02-01 (Coronation Plaza)
The Living Cafe ,779 Bukit Timah Road
Little Diner ,789 Bukit Timah Road
Vickys Cakes & The Coffee Shack ,Bukit Timah Road #01-07 (Royaville)
Simply Bread ,Fifth Avenue #01-03(Guthrie House) | CF
Baker & Cook ,77 Hillcrest Road
Dutch Colony Coffee Co ,200 Turf Club Road Stall #67-68 (The Grandstand)
Riders Cafe ,51 Fairways Drive (Bukit Timah Saddle Club)
Marmalade Pantry ,55 Fairways Drive
Lynns Cake & Coffee ,11 Eng Kong Terrace
Necessary Provisions Cafe ,21 Eng Kong Terrace
Carpenter & Cook ,19 Lorong Kilat #01-06
Nook DIY House of Pancakes ,Lorong Kilat #01-03
Spruce ,274 Upper Bukit Timah Road
W.39 Bistro ,Jalan Mas Puteh
Cupplets ,535 Clementi Road (Ngee Ann Polytechnic Block 16)
Paris Baguette Cafe ,50 Jurong Gateway Road #02-20 (JEM)
Humble Origins ,Ridge Drive(NUS FASS, next to LT12)
Artease ,14 Nanyang Drive (NTU School of Humanities)
The Orange Thimble ,Eng Hoon Street #01-68
Caffe Pralet ,17 Eng Hoon Street #01-03/04 (Eng Hoon Mansions)
Drips Bakery Cafe ,Tiong Poh Road #01-05
Flock Cafe ,Moh Guan Terrace #01-25
Forty Hands ,Yong Siak Street #01-12
Open Door Policy ,Yong Siak Street
