"313 Orchard Road
#B1-37 313@Somerset
Singapore 238895",6884 6598,"Sun - Thu & PH: 9am - 10pm
Fri,Sat & Eve of PH: 9am - 11pm",238895
"391 Orchard Road
#B1-37
Ngee Ann City
Singapore 238872",6235 1610,Mon - Sun: 8.30am - 10.30pm,238872
"201 Victoria Street
#01-06
Singapore 188067",6884 6058,"Sun - Thu & PH: 8am - 11pm
Fri - Sat, Eve of PH : 8am - 12mn",188067
"180 Kitchener Road
#B1-04 City Square Mall
Singapore 208539",6509 6202,Mon - Sun: 8am - 10pm,208539
"583 Orchard Road
#01-45/46 Forum The Shopping Mall
Singapore 238884",6733 8005,24hrs,238884
"1 Kim Seng Promenade
#01-18/19 Great World City
Singapore 237994",68360177,"Sun - Thu & PH : 8am - 10pm
Fri - Sat & Eve of PH:  8am - 11pm",237994
"2 Orchard Turn
#B1-12 ION Orchard
Singapore 238801",6509 9742,"Sun - Thu & PH: 7.30am - 11pm
Fri,Sat & Eve of PH: 7.30am - 12mn",238801
"51 Bras Basah Road
#01-02B Manulife Centre
Singapore 189554",6238 0267,"Mon - Sat: 7.30am - 11pm
Sun & PH: 9am - 11pm",189554
"6 Raffles Boulevard
#02-103A/104 Marina Square
Singapore 039594",6338 9674,"Sun -Thurs & PH: 8.30am to 10.30pm
Fri, Sat & Eve of PH: 8.30am - 11.00pm",039594
"9 Raffles Boulevard
#01-106 Millenia Walk
Singapore 039596",6338 4577,"Mon-Thu: 7:30am - 10pm
Fri & Eve of PH: 7:30am - 11pm
Sat: 8am - 11pm
Sun & PH: 8am - 10pm",039596
"238 Thomson Road
#02-04 & #02-K1 Velocity @ Novena Square
Singapore 307683",6259 9757,Mon - Sun: 7am - 10pm,307683
"181 Orchard Road
#01-26 Orchard Central
Singapore 238896",6509 9934,"Mon to Thu: 9am - 10pm
Fri, Sat, Sun & PH: 9am - 11pm",238896
"290 Orchard Road
#01-37 The Paragon
Singapore 238859",6235 4618,"Sun-Thu & PH: 7.30am - 12mn
Fri,Sat and eve of PH: 7.30am - 1am",238859
"11 Jalan Tan Tock Seng
#01-16/17
Tan Tock Seng Hospital
Singapore 308433",62598320,"Mon - Sat: 7am - 9pm
Sun & PH: 8am - 9pm",308433
